table,company_id,year,action,source_rows
profitandloss,ADANIPORTS,2013-03,keep_last,2
profitandloss,ADANIPORTS,2014-03,keep_last,2
profitandloss,ADANIPORTS,2015-03,keep_last,2
profitandloss,ADANIPORTS,2016-03,keep_last,2
profitandloss,ADANIPORTS,2017-03,keep_last,2
profitandloss,ADANIPORTS,2018-03,keep_last,2
profitandloss,ADANIPORTS,2019-03,keep_last,2
profitandloss,ADANIPORTS,2020-03,keep_last,2
profitandloss,ADANIPORTS,2021-03,keep_last,2
profitandloss,ADANIPORTS,2022-03,keep_last,2
profitandloss,ADANIPORTS,2023-03,keep_last,2
profitandloss,ADANIPORTS,2024-03,keep_last,2
profitandloss,ADANIPORTS,nan,keep_last,2
balancesheet,ASIANPAINT,2013-03,keep_last,2
balancesheet,ASIANPAINT,2014-03,keep_last,2
balancesheet,ASIANPAINT,2015-03,keep_last,2
balancesheet,ASIANPAINT,2016-03,keep_last,2
balancesheet,ASIANPAINT,2017-03,keep_last,2
balancesheet,ASIANPAINT,2018-03,keep_last,2
balancesheet,ASIANPAINT,2019-03,keep_last,2
balancesheet,ASIANPAINT,2020-03,keep_last,2
balancesheet,ASIANPAINT,2021-03,keep_last,2
balancesheet,ASIANPAINT,2022-03,keep_last,2
balancesheet,ASIANPAINT,2023-03,keep_last,2
balancesheet,ASIANPAINT,2024-03,keep_last,2
balancesheet,ASIANPAINT,2024-09,keep_last,2
balancesheet,PNB,2013-03,keep_last,5
balancesheet,PNB,2014-03,keep_last,5
balancesheet,PNB,2015-03,keep_last,5
balancesheet,PNB,2016-03,keep_last,5
balancesheet,PNB,2017-03,keep_last,5
balancesheet,PNB,2018-03,keep_last,5
balancesheet,PNB,2019-03,keep_last,5
balancesheet,PNB,2020-03,keep_last,5
balancesheet,PNB,2021-03,keep_last,5
balancesheet,PNB,2022-03,keep_last,5
balancesheet,PNB,2023-03,keep_last,5
balancesheet,PNB,2024-03,keep_last,5
balancesheet,POWERGRID,2013-03,keep_last,2
balancesheet,POWERGRID,2014-03,keep_last,2
balancesheet,POWERGRID,2015-03,keep_last,2
balancesheet,POWERGRID,2016-03,keep_last,2
balancesheet,POWERGRID,2017-03,keep_last,2
balancesheet,POWERGRID,2018-03,keep_last,2
balancesheet,POWERGRID,2019-03,keep_last,2
balancesheet,POWERGRID,2020-03,keep_last,2
balancesheet,POWERGRID,2021-03,keep_last,2
balancesheet,POWERGRID,2022-03,keep_last,2
balancesheet,POWERGRID,2023-03,keep_last,2
balancesheet,POWERGRID,2024-03,keep_last,2
balancesheet,POWERGRID,2024-09,keep_last,2
balancesheet,TECHM,2013-03,keep_last,2
balancesheet,TECHM,2014-03,keep_last,2
balancesheet,TECHM,2015-03,keep_last,2
balancesheet,TECHM,2016-03,keep_last,2
balancesheet,TECHM,2017-03,keep_last,2
balancesheet,TECHM,2018-03,keep_last,2
balancesheet,TECHM,2019-03,keep_last,2
balancesheet,TECHM,2020-03,keep_last,2
balancesheet,TECHM,2021-03,keep_last,2
balancesheet,TECHM,2022-03,keep_last,2
balancesheet,TECHM,2023-03,keep_last,2
balancesheet,TECHM,2024-03,keep_last,2
balancesheet,TECHM,2024-09,keep_last,2
cashflow,ABB,2014-03,keep_last,2
cashflow,ABB,2015-03,keep_last,2
cashflow,ABB,2016-03,keep_last,2
cashflow,ABB,2017-03,keep_last,2
cashflow,ABB,2018-03,keep_last,2
cashflow,ABB,2019-03,keep_last,2
cashflow,ABB,2020-03,keep_last,2
cashflow,ABB,2021-03,keep_last,2
cashflow,ABB,2022-03,keep_last,2
cashflow,ABB,2023-03,keep_last,2
cashflow,ABB,2024-03,keep_last,2
cashflow,BAJAJ-AUTO,2013-03,keep_last,2
cashflow,BAJAJ-AUTO,2014-03,keep_last,2
cashflow,BAJAJ-AUTO,2015-03,keep_last,2
cashflow,BAJAJ-AUTO,2016-03,keep_last,2
cashflow,BAJAJ-AUTO,2017-03,keep_last,2
