table,rows_in,rows_out,rejected,critical_rejections,timestamp,runtime_s
companies,92,92,0,0,2026-08-28T16:43:26.579511+00:00,0.0305
profitandloss,1263,1073,190,0,2026-08-28T16:43:26.622803+00:00,0.0432
balancesheet,1225,1140,85,0,2026-08-28T16:43:26.641136+00:00,0.018
cashflow,1152,1056,96,0,2026-08-28T16:43:26.672290+00:00,0.0311
analysis,20,16,4,0,2026-08-28T16:43:26.680119+00:00,0.0077
documents,1584,1456,128,0,2026-08-28T16:43:26.716379+00:00,0.0364
prosandcons,16,14,2,0,2026-08-28T16:43:26.727626+00:00,0.0109
sectors,92,92,0,0,2026-08-28T16:43:26.741996+00:00,0.0143
stock_prices,5520,5520,0,0,2026-08-28T16:43:26.810360+00:00,0.0683
market_cap,552,552,0,0,2026-08-28T16:43:26.825193+00:00,0.0148
financial_ratios,1065,1041,24,0,2026-08-28T16:43:26.850277+00:00,0.0247
peer_groups,56,56,0,0,2026-08-28T16:43:26.863606+00:00,0.0133
