company_id,from_year,to_year,from_pattern,to_pattern
ABB,2012-12,2014-03,Reinvestor,Mixed
ABB,2014-03,2015-03,Mixed,Growth Funded by Debt
ABB,2015-03,2016-03,Growth Funded by Debt,Shareholder Returns
ABB,2017-03,2018-03,Shareholder Returns,Mixed
ABB,2020-03,2021-03,Mixed,Shareholder Returns
ABB,2022-03,2023-03,Shareholder Returns,Mixed
ABB,2023-03,2024-03,Mixed,Shareholder Returns
ADANIENSOL,2014-03,2015-03,Mixed,Growth Funded by Debt
ADANIENSOL,2015-03,2016-03,Growth Funded by Debt,Shareholder Returns
ADANIENSOL,2017-03,2018-03,Shareholder Returns,Mixed
ADANIENSOL,2020-03,2021-03,Mixed,Shareholder Returns
ADANIENSOL,2022-03,2023-03,Shareholder Returns,Mixed
ADANIENSOL,2023-03,2024-03,Mixed,Shareholder Returns
ADANIENT,2013-03,2014-03,Mixed,Shareholder Returns
ADANIENT,2014-03,2015-03,Shareholder Returns,Mixed
ADANIENT,2015-03,2016-03,Mixed,Shareholder Returns
ADANIENT,2016-03,2017-03,Shareholder Returns,Mixed
ADANIENT,2018-03,2019-03,Mixed,Liquidating Assets
ADANIENT,2019-03,2020-03,Liquidating Assets,Shareholder Returns
ADANIENT,2020-03,2021-03,Shareholder Returns,Mixed
ADANIENT,2022-03,2023-03,Mixed,Shareholder Returns
ADANIENT,2023-03,2024-03,Shareholder Returns,Mixed
ADANIGREEN,2022-03,2023-03,Mixed,Shareholder Returns
ADANIGREEN,2023-03,2024-03,Shareholder Returns,Mixed
ADANIPORTS,2014-03,2015-03,Mixed,Shareholder Returns
ADANIPORTS,2015-03,2016-03,Shareholder Returns,Mixed
ADANIPORTS,2016-03,2017-03,Mixed,Shareholder Returns
ADANIPORTS,2018-03,2019-03,Shareholder Returns,Mixed
ADANIPORTS,2019-03,2020-03,Mixed,Shareholder Returns
ADANIPORTS,2020-03,2021-03,Shareholder Returns,Mixed
ADANIPORTS,2021-03,2022-03,Mixed,Shareholder Returns
ADANIPOWER,2014-03,2015-03,Mixed,Reinvestor
ADANIPOWER,2015-03,2016-03,Reinvestor,Shareholder Returns
ADANIPOWER,2016-03,2017-03,Shareholder Returns,Reinvestor
ADANIPOWER,2020-03,2021-03,Reinvestor,Shareholder Returns
ADANIPOWER,2021-03,2022-03,Shareholder Returns,Liquidating Assets
AMBUJACEM,2012-12,2013-12,Shareholder Returns,Reinvestor
AMBUJACEM,2013-12,2014-12,Reinvestor,Shareholder Returns
AMBUJACEM,2017-12,2018-12,Shareholder Returns,Reinvestor
AMBUJACEM,2018-12,2019-12,Reinvestor,Shareholder Returns
AMBUJACEM,2021-12,2023-03,Shareholder Returns,Mixed
APOLLOHOSP,2013-03,2014-03,Mixed,Shareholder Returns
APOLLOHOSP,2014-03,2015-03,Shareholder Returns,Mixed
APOLLOHOSP,2017-03,2018-03,Mixed,Shareholder Returns
ASIANPAINT,2014-03,2015-03,Shareholder Returns,Reinvestor
ASIANPAINT,2015-03,2016-03,Reinvestor,Shareholder Returns
ASIANPAINT,2016-03,2017-03,Shareholder Returns,Reinvestor
ASIANPAINT,2017-03,2018-03,Reinvestor,Shareholder Returns
